points
10
X
Y
Z
code
indicators_rt_0
indicators_rt_100
indicators_rt_200
signed_distances_rt_0
signed_distances_rt_100
signed_distances_rt_200
178 110 0 100 0 1 0 21.1896209717 -21.1896209717 87.1435623169
161 108 0 100 0 1 0 25.0798721313 -25.0798721313 70.0642547607
0 201 0 0 1 0 0 -24 76 24
139 179 0 0 1 0 0 -23.7065391541 53.8516464233 23.7065391541
0 24 0 100 0 1 0 126 -67.3646774292 67.3646774292
226 223 0 200 0 0 1 41.5932693481 97.2522506714 -41.5932693481
128 135 0 0 1 0 0 -10.4403066635 10.4403066635 39.8246154785
151 65 0 100 0 1 0 66 -47.7074432373 47.7074432373
200 51 0 100 0 1 0 80.4114456177 -79.3788375854 79.3788375854
179 88 0 100 0 1 0 42.4264068604 -42.4264068604 82.9758987427
8 163 0 0 1 0 0 -38.8329772949 38.8329772949 61.7737808228
58 108 0 200 0 0 1 36.0555114746 11.1803398132 -11.1803398132
77 201 0 200 0 0 1 13 79.4040298462 -13
102 100 0 100 0 1 0 36.6878738403 -12.0830459595 12.0830459595
41 201 0 0 1 0 0 -16.2788200378 76.531036377 16.2788200378
40 119 0 100 0 1 0 32.0156211853 -21.0950222015 21.0950222015
119 10 0 200 0 0 1 125.143920898 27.8567771912 -27.8567771912
156 55 0 100 0 1 0 76.1642990112 -43.1393089294 43.1393089294
177 159 0 0 1 0 0 -31.1448230743 31.1448230743 43.0116271973
0 153 0 0 1 0 0 -28 28 72
14 34 0 100 0 1 0 116.520385742 -53.0848388672 53.0848388672
93 70 0 200 0 0 1 68.0073547363 8.60232543945 -8.60232543945
116 159 0 0 1 0 0 -14.7648229599 30.1496276855 14.7648229599
140 213 0 200 0 0 1 22.8473186493 86.5852203369 -22.8473186493
18 173 0 0 1 0 0 -48.3321838379 48.5077323914 48.3321838379
52 19 0 100 0 1 0 125.255737305 -19.2093734741 19.2093734741
0 99 0 100 0 1 0 51 -51 56.6127204895
56 193 0 0 1 0 0 -20.248456955 68.2641906738 20.248456955
96 195 0 200 0 0 1 20.248456955 69.8927764893 -20.248456955
174 31 0 100 0 1 0 99.6092376709 -49.3659820557 49.3659820557
38 217 0 200 0 0 1 13.0384044647 92.7793045044 -13.0384044647
